127.0.0.1 - - [26/May/2025:12:15:22 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [26/May/2025:12:15:23 +0530] "GET /Depression_prediction_model/ HTTP/1.1" 200 5544
0:0:0:0:0:0:0:1 - - [26/May/2025:12:15:23 +0530] "GET /Depression_prediction_model/vendor/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 124962
0:0:0:0:0:0:0:1 - - [26/May/2025:12:15:23 +0530] "GET /Depression_prediction_model/fonts/iconic/css/material-design-iconic-font.min.css HTTP/1.1" 200 70815
0:0:0:0:0:0:0:1 - - [26/May/2025:12:15:23 +0530] "GET /Depression_prediction_model/fonts/font-awesome-4.7.0/css/font-awesome.min.css HTTP/1.1" 200 31000
0:0:0:0:0:0:0:1 - - [26/May/2025:12:15:23 +0530] "GET /Depression_prediction_model/vendor/animsition/css/animsition.min.css HTTP/1.1" 200 27478
0:0:0:0:0:0:0:1 - - [26/May/2025:12:15:23 +0530] "GET /Depression_prediction_model/vendor/css-hamburgers/hamburgers.min.css HTTP/1.1" 200 19686
0:0:0:0:0:0:0:1 - - [26/May/2025:12:15:23 +0530] "GET /Depression_prediction_model/vendor/animate/animate.css HTTP/1.1" 200 23848
0:0:0:0:0:0:0:1 - - [26/May/2025:12:15:23 +0530] "GET /Depression_prediction_model/css/util.css HTTP/1.1" 200 86814
0:0:0:0:0:0:0:1 - - [26/May/2025:12:15:23 +0530] "GET /Depression_prediction_model/vendor/jquery/jquery-3.2.1.min.js HTTP/1.1" 200 86659
0:0:0:0:0:0:0:1 - - [26/May/2025:12:15:23 +0530] "GET /Depression_prediction_model/vendor/select2/select2.min.css HTTP/1.1" 200 15196
0:0:0:0:0:0:0:1 - - [26/May/2025:12:15:23 +0530] "GET /Depression_prediction_model/vendor/daterangepicker/daterangepicker.css HTTP/1.1" 200 8163
0:0:0:0:0:0:0:1 - - [26/May/2025:12:15:23 +0530] "GET /Depression_prediction_model/vendor/bootstrap/js/popper.js HTTP/1.1" 200 81670
0:0:0:0:0:0:0:1 - - [26/May/2025:12:15:23 +0530] "GET /Depression_prediction_model/vendor/bootstrap/js/bootstrap.min.js HTTP/1.1" 200 51143
0:0:0:0:0:0:0:1 - - [26/May/2025:12:15:23 +0530] "GET /Depression_prediction_model/css/main.css HTTP/1.1" 200 9716
0:0:0:0:0:0:0:1 - - [26/May/2025:12:15:23 +0530] "GET /Depression_prediction_model/vendor/select2/select2.min.js HTTP/1.1" 200 66664
0:0:0:0:0:0:0:1 - - [26/May/2025:12:15:23 +0530] "GET /Depression_prediction_model/vendor/animsition/js/animsition.min.js HTTP/1.1" 200 5615
0:0:0:0:0:0:0:1 - - [26/May/2025:12:15:23 +0530] "GET /Depression_prediction_model/vendor/daterangepicker/daterangepicker.js HTTP/1.1" 200 69776
0:0:0:0:0:0:0:1 - - [26/May/2025:12:15:23 +0530] "GET /Depression_prediction_model/vendor/daterangepicker/moment.min.js HTTP/1.1" 200 46645
0:0:0:0:0:0:0:1 - - [26/May/2025:12:15:23 +0530] "GET /Depression_prediction_model/images/bg-01.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2025:12:15:23 +0530] "GET /Depression_prediction_model/vendor/countdowntime/countdowntime.js HTTP/1.1" 200 1340
0:0:0:0:0:0:0:1 - - [26/May/2025:12:15:23 +0530] "GET /Depression_prediction_model/js/main.js HTTP/1.1" 200 1818
0:0:0:0:0:0:0:1 - - [26/May/2025:12:15:23 +0530] "GET /Depression_prediction_model/fonts/poppins/Poppins-Bold.ttf HTTP/1.1" 200 141260
0:0:0:0:0:0:0:1 - - [26/May/2025:12:15:23 +0530] "GET /Depression_prediction_model/fonts/poppins/Poppins-Medium.ttf HTTP/1.1" 200 143516
0:0:0:0:0:0:0:1 - - [26/May/2025:12:15:23 +0530] "GET /Depression_prediction_model/fonts/poppins/Poppins-Regular.ttf HTTP/1.1" 200 145312
0:0:0:0:0:0:0:1 - - [26/May/2025:12:15:23 +0530] "GET /Depression_prediction_model/fonts/iconic/fonts/Material-Design-Iconic-Font.woff2?v=2.2.0 HTTP/1.1" 200 38384
0:0:0:0:0:0:0:1 - - [26/May/2025:12:15:23 +0530] "GET /Depression_prediction_model/images/icons/favicon.ico HTTP/1.1" 200 32038
