127.0.0.1 - - [07/Jun/2025:12:15:15 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [07/Jun/2025:12:15:16 +0530] "GET /Depression_prediction_model/File_UploadPage.jsp HTTP/1.1" 200 8623
0:0:0:0:0:0:0:1 - - [07/Jun/2025:12:15:16 +0530] "GET /Depression_prediction_model/style.css HTTP/1.1" 200 57015
0:0:0:0:0:0:0:1 - - [07/Jun/2025:12:15:16 +0530] "GET /Depression_prediction_model/css/bootstrap.min.css HTTP/1.1" 200 144877
0:0:0:0:0:0:0:1 - - [07/Jun/2025:12:15:16 +0530] "GET /Depression_prediction_model/css/bootstrap-select.css HTTP/1.1" 200 7762
0:0:0:0:0:0:0:1 - - [07/Jun/2025:12:15:16 +0530] "GET /Depression_prediction_model/css/colors.css HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [07/Jun/2025:12:15:16 +0530] "GET /Depression_prediction_model/css/perfect-scrollbar.css HTTP/1.1" 200 2500
0:0:0:0:0:0:0:1 - - [07/Jun/2025:12:15:16 +0530] "GET /Depression_prediction_model/css/responsive.css HTTP/1.1" 200 9402
0:0:0:0:0:0:0:1 - - [07/Jun/2025:12:15:16 +0530] "GET /Depression_prediction_model/js/jquery.min.js HTTP/1.1" 200 69917
0:0:0:0:0:0:0:1 - - [07/Jun/2025:12:15:16 +0530] "GET /Depression_prediction_model/images/logo/logo_icon.png HTTP/1.1" 200 22404
0:0:0:0:0:0:0:1 - - [07/Jun/2025:12:15:16 +0530] "GET /Depression_prediction_model/css/animate.css HTTP/1.1" 200 62092
0:0:0:0:0:0:0:1 - - [07/Jun/2025:12:15:16 +0530] "GET /Depression_prediction_model/images/layout_img/user_img.jpg HTTP/1.1" 200 34417
0:0:0:0:0:0:0:1 - - [07/Jun/2025:12:15:16 +0530] "GET /Depression_prediction_model/css/custom.css HTTP/1.1" 200 201
0:0:0:0:0:0:0:1 - - [07/Jun/2025:12:15:16 +0530] "GET /Depression_prediction_model/css/flaticon.css HTTP/1.1" 200 3136
0:0:0:0:0:0:0:1 - - [07/Jun/2025:12:15:16 +0530] "GET /Depression_prediction_model/css/font-awesome.min.css HTTP/1.1" 200 29063
0:0:0:0:0:0:0:1 - - [07/Jun/2025:12:15:16 +0530] "GET /Depression_prediction_model/js/bootstrap-select.js HTTP/1.1" 200 68915
0:0:0:0:0:0:0:1 - - [07/Jun/2025:12:15:16 +0530] "GET /Depression_prediction_model/js/owl.carousel.js HTTP/1.1" 200 85100
0:0:0:0:0:0:0:1 - - [07/Jun/2025:12:15:16 +0530] "GET /Depression_prediction_model/js/popper.min.js HTTP/1.1" 200 20495
0:0:0:0:0:0:0:1 - - [07/Jun/2025:12:15:16 +0530] "GET /Depression_prediction_model/js/Chart.min.js HTTP/1.1" 200 159638
0:0:0:0:0:0:0:1 - - [07/Jun/2025:12:15:16 +0530] "GET /Depression_prediction_model/js/bootstrap.min.js HTTP/1.1" 200 48944
0:0:0:0:0:0:0:1 - - [07/Jun/2025:12:15:16 +0530] "GET /Depression_prediction_model/js/Chart.bundle.min.js HTTP/1.1" 200 211133
0:0:0:0:0:0:0:1 - - [07/Jun/2025:12:15:16 +0530] "GET /Depression_prediction_model/js/animate.js HTTP/1.1" 200 9442
0:0:0:0:0:0:0:1 - - [07/Jun/2025:12:15:16 +0530] "GET /Depression_prediction_model/js/utils.js HTTP/1.1" 200 3318
0:0:0:0:0:0:0:1 - - [07/Jun/2025:12:15:16 +0530] "GET /Depression_prediction_model/js/analyser.js HTTP/1.1" 200 1405
0:0:0:0:0:0:0:1 - - [07/Jun/2025:12:15:16 +0530] "GET /Depression_prediction_model/js/custom.js HTTP/1.1" 200 7656
0:0:0:0:0:0:0:1 - - [07/Jun/2025:12:15:16 +0530] "GET /Depression_prediction_model/js/perfect-scrollbar.min.js HTTP/1.1" 200 18291
0:0:0:0:0:0:0:1 - - [07/Jun/2025:12:15:16 +0530] "GET /Depression_prediction_model/js/chart_custom_style1.js HTTP/1.1" 200 4388
0:0:0:0:0:0:0:1 - - [07/Jun/2025:12:15:16 +0530] "GET /Depression_prediction_model/images/layout_img/pattern_h.png HTTP/1.1" 200 106468
0:0:0:0:0:0:0:1 - - [07/Jun/2025:12:15:16 +0530] "GET /Depression_prediction_model/fonts/fontawesome-webfont.woff2?v=4.6.3 HTTP/1.1" 200 71896
0:0:0:0:0:0:0:1 - - [07/Jun/2025:12:15:16 +0530] "GET /Depression_prediction_model/images/fevicon.png HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [07/Jun/2025:12:15:33 +0530] "GET /Depression_prediction_model/login_page HTTP/1.1" 200 5632
0:0:0:0:0:0:0:1 - - [07/Jun/2025:12:15:33 +0530] "GET /Depression_prediction_model/fonts/iconic/css/material-design-iconic-font.min.css HTTP/1.1" 200 70815
0:0:0:0:0:0:0:1 - - [07/Jun/2025:12:15:33 +0530] "GET /Depression_prediction_model/vendor/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 124962
0:0:0:0:0:0:0:1 - - [07/Jun/2025:12:15:33 +0530] "GET /Depression_prediction_model/vendor/css-hamburgers/hamburgers.min.css HTTP/1.1" 200 19686
0:0:0:0:0:0:0:1 - - [07/Jun/2025:12:15:33 +0530] "GET /Depression_prediction_model/vendor/animsition/css/animsition.min.css HTTP/1.1" 200 27478
0:0:0:0:0:0:0:1 - - [07/Jun/2025:12:15:33 +0530] "GET /Depression_prediction_model/vendor/animate/animate.css HTTP/1.1" 200 23848
0:0:0:0:0:0:0:1 - - [07/Jun/2025:12:15:33 +0530] "GET /Depression_prediction_model/css/util.css HTTP/1.1" 200 86814
0:0:0:0:0:0:0:1 - - [07/Jun/2025:12:15:33 +0530] "GET /Depression_prediction_model/vendor/daterangepicker/daterangepicker.css HTTP/1.1" 200 8163
0:0:0:0:0:0:0:1 - - [07/Jun/2025:12:15:33 +0530] "GET /Depression_prediction_model/fonts/font-awesome-4.7.0/css/font-awesome.min.css HTTP/1.1" 200 31000
0:0:0:0:0:0:0:1 - - [07/Jun/2025:12:15:33 +0530] "GET /Depression_prediction_model/css/main.css HTTP/1.1" 200 9716
0:0:0:0:0:0:0:1 - - [07/Jun/2025:12:15:33 +0530] "GET /Depression_prediction_model/vendor/select2/select2.min.js HTTP/1.1" 200 66664
